NrDoms=11211 # number of domains
NrSingletons=2236 # number of singleton domains
NT=108718 # total possible TPs
NF=125566592 # total possible FPs
TPR+FPEPQ	0.0100	0.04424	0.000197
TPR+FPEPQ	0.0200	0.0991	0.0005
TPR+FPEPQ	0.0300	0.1458	0.000938
TPR+FPEPQ	0.0400	0.1975	0.00161
TPR+FPEPQ	0.0500	0.2466	0.00253
TPR+FPEPQ	0.0600	0.2919	0.00378
TPR+FPEPQ	0.0700	0.3366	0.00551
TPR+FPEPQ	0.0800	0.3794	0.00766
TPR+FPEPQ	0.0900	0.4192	0.0102
TPR+FPEPQ	0.1000	0.4577	0.0132
TPR+FPEPQ	0.1100	0.4961	0.0167
TPR+FPEPQ	0.1200	0.5324	0.0203
TPR+FPEPQ	0.1300	0.5654	0.0243
TPR+FPEPQ	0.1400	0.6027	0.0288
TPR+FPEPQ	0.1500	0.6395	0.0341
TPR+FPEPQ	0.1600	0.6742	0.0397
TPR+FPEPQ	0.1700	0.7076	0.0459
TPR+FPEPQ	0.1800	0.7434	0.0524
TPR+FPEPQ	0.1900	0.7801	0.0595
TPR+FPEPQ	0.2000	0.8155	0.0674
TPR+FPEPQ	0.2100	0.8497	0.0754
TPR+FPEPQ	0.2200	0.889	0.0848
TPR+FPEPQ	0.2300	0.9226	0.0943
TPR+FPEPQ	0.2400	0.9616	0.105
TPR+FPEPQ	0.2500	1.004	0.116
TPR+FPEPQ	0.2600	1.043	0.128
TPR+FPEPQ	0.2700	1.083	0.14
TPR+FPEPQ	0.2800	1.13	0.154
TPR+FPEPQ	0.2900	1.175	0.169
TPR+FPEPQ	0.3000	1.218	0.184
TPR+FPEPQ	0.3100	1.27	0.201
TPR+FPEPQ	0.3200	1.321	0.219
TPR+FPEPQ	0.3300	1.372	0.237
TPR+FPEPQ	0.3400	1.428	0.258
TPR+FPEPQ	0.3500	1.485	0.279
TPR+FPEPQ	0.3600	1.549	0.303
TPR+FPEPQ	0.3700	1.615	0.326
TPR+FPEPQ	0.3800	1.687	0.353
TPR+FPEPQ	0.3900	1.753	0.38
TPR+FPEPQ	0.4000	1.825	0.409
TPR+FPEPQ	0.4100	1.905	0.441
TPR+FPEPQ	0.4200	1.995	0.477
TPR+FPEPQ	0.4300	2.08	0.513
TPR+FPEPQ	0.4400	2.182	0.553
TPR+FPEPQ	0.4500	2.28	0.593
TPR+FPEPQ	0.4600	2.381	0.636
TPR+FPEPQ	0.4700	2.492	0.683
TPR+FPEPQ	0.4800	2.608	0.733
TPR+FPEPQ	0.4900	2.731	0.786
TPR+FPEPQ	0.5000	2.869	0.845
TPR+FPEPQ	0.5100	3.016	0.908
TPR+FPEPQ	0.5200	3.167	0.974
TPR+FPEPQ	0.5300	3.33	1.05
TPR+FPEPQ	0.5400	3.5	1.12
TPR+FPEPQ	0.5500	3.679	1.2
TPR+FPEPQ	0.5600	3.883	1.29
TPR+FPEPQ	0.5700	4.087	1.38
TPR+FPEPQ	0.5800	4.324	1.48
TPR+FPEPQ	0.5900	4.576	1.59
TPR+FPEPQ	0.6000	4.844	1.71
TPR+FPEPQ	0.6100	5.158	1.84
TPR+FPEPQ	0.6200	5.497	1.97
TPR+FPEPQ	0.6300	5.871	2.12
TPR+FPEPQ	0.6400	6.263	2.27
TPR+FPEPQ	0.6500	6.644	2.42
TPR+FPEPQ	0.6600	7.104	2.59
TPR+FPEPQ	0.6700	7.591	2.78
TPR+FPEPQ	0.6800	8.084	2.96
TPR+FPEPQ	0.6900	8.694	3.18
TPR+FPEPQ	0.7000	9.379	3.42
TPR+FPEPQ	0.7100	10.11	3.67
TPR+FPEPQ	0.7200	10.91	3.94
TPR+FPEPQ	0.7300	11.8	4.23
TPR+FPEPQ	0.7400	12.81	4.56
TPR+FPEPQ	0.7500	13.95	4.91
TPR+FPEPQ	0.7600	15.27	5.31
TPR+FPEPQ	0.7700	16.7	5.73
TPR+FPEPQ	0.7800	18.32	6.18
TPR+FPEPQ	0.7900	20.15	6.68
TPR+FPEPQ	0.8000	22.4	7.26
TPR+FPEPQ	0.8100	25.03	7.91
TPR+FPEPQ	0.8200	28.24	8.64
TPR+FPEPQ	0.8300	32.07	9.47
TPR+FPEPQ	0.8400	36.62	10.4
TPR+FPEPQ	0.8500	42.37	11.4
TPR+FPEPQ	0.8600	50.54	12.8
TPR+FPEPQ	0.8700	60.98	14.3
TPR+FPEPQ	0.8800	74.45	15.9
TPR+FPEPQ	0.8900	93.22	17.9
TPR+FPEPQ	0.9000	120.6	20.2
TPR+FPEPQ	0.9100	164.8	23
TPR+FPEPQ	0.9200	236.2	26.2
TPR+FPEPQ	0.9300	361.2	30.3
TPR+FPEPQ	0.9400	570.8	35.3
TPR+FPEPQ	0.9500	930.4	41.5
TPR+FPEPQ	0.9600	1515	49.1
TPR+FPEPQ	0.9700	2455	58.6
TPR+FPEPQ	0.9800	4212	72.5
TPR+FPEPQ	0.9900	7318	93.3
TPR+FPEPQ	0.9957	1.109e+04	1580
tpr_at_fpepq0_1=0.0203
tpr_at_fpepq1=0.2489
tpr_at_fpepq10=0.7086
nrtps_to_firstfp=41023
sens_to_firstfp=0.3773
