fpepq	blastp	DALI	TMalign	GTalign	foldseek	devreseek	devreseek-sensitive
0.01							
0.02							
0.03		0.01204					
0.04		0.02203					
0.05		0.0355					
0.06		0.05539	0.01552	0.01534	0.01222		
0.07		0.08545	0.02319	0.02266	0.02364		
0.08	0.0223	0.1174	0.03282	0.033	0.0396		
0.09	0.09669	0.154	0.04888	0.04683	0.06012		
0.10	0.3877	0.2003	0.0644	0.06119	0.0859	0.01142	0.01168
0.11	1.301	0.2548	0.08724	0.08108	0.1161	0.01855	0.01882
0.12	7.695	0.3223	0.112	0.1046	0.1513	0.02926	0.02819
0.13		0.4182	0.137	0.1287	0.194	0.04139	0.0413
0.14		0.5333	0.1712	0.1579	0.2422	0.05709	0.05727
0.15		0.6542	0.2134	0.1946	0.297	0.0751	0.07671
0.16		0.7919	0.2597	0.2368	0.3652	0.0991	0.1035
0.17		0.9541	0.3126	0.2846	0.4344	0.1303	0.1366
0.18		1.125	0.372	0.3408	0.5151	0.1617	0.1804
0.19		1.326	0.4448	0.4081	0.609	0.2028	0.2265
0.20		1.547	0.5289	0.4899	0.7093	0.2537	0.2856
0.21		1.787	0.6326	0.5769	0.8232	0.3159	0.3612
0.22		2.042	0.742	0.6811	0.9462	0.3884	0.4538
0.23		2.318	0.8827	0.8129	1.08	0.4786	0.5647
0.24		2.615	1.047	0.9594	1.238	0.5832	0.6949
0.25		2.925	1.232	1.128	1.418	0.7156	0.8458
0.26		3.221	1.452	1.334	1.617	0.8757	1.018
0.27		3.534	1.693	1.548	1.83	1.058	1.21
0.28		3.862	1.95	1.793	2.074	1.275	1.45
0.29		4.191	2.231	2.08	2.356	1.539	1.717
0.30		4.529	2.575	2.401	2.678	1.842	2.018
0.31		4.852	2.943	2.768	3.036	2.203	2.355
0.32		5.194	3.385	3.188	3.432	2.646	2.717
0.33		5.523	3.844	3.662	3.882	3.172	3.195
0.34		5.874	4.372	4.169	4.379	3.802	3.639
0.35		6.214	4.921	4.738	4.933	4.587	4.158
0.36		6.592	5.561	5.337	5.557	5.595	4.791
0.37		6.936	6.201	5.991	6.243	6.898	5.431
0.38		7.323	6.898	6.707	7.028	8.715	6.2
0.39		7.744	7.629	7.451	7.901		7.045
0.40		8.169	8.415	8.266	8.85		7.941
0.41		8.637	9.269	9.113	9.981		9.062
0.42		9.083					
0.43		9.616					
