fpepq	DALI_fold	TMalign_fold	blastp_fold	devreseek-fast_fold	devreseek-sensitive_fold	foldseek_fold
0.01						
0.02						
0.03	0.0116					
0.04	0.03184		0.1006			0.02078
0.05	0.05218	0.0107	7.599			0.04076
0.06	0.07002	0.01784			0.01168	0.05985
0.07	0.09	0.02979		0.01534	0.01989	0.0776
0.08	0.11	0.04531		0.02399	0.03461	0.09839
0.09	0.1304	0.06743		0.03675	0.05423	0.122
0.10	0.1513	0.09598		0.05709	0.08759	0.1541
0.11	0.179	0.1308		0.0867	0.1356	0.1905
0.12	0.2068	0.178		0.1301	0.1996	0.2407
0.13	0.235	0.2325		0.1945	0.296	0.3092
0.14	0.2655	0.2865		0.2843	0.4089	0.3973
0.15	0.2951	0.3491		0.4151	0.5564	0.5242
0.16	0.3362	0.4378		0.5763	0.7296	0.686
0.17	0.3851	0.5307		0.7901	0.9417	0.8881
0.18	0.4477	0.6355		1.059	1.204	1.147
0.19	0.5288	0.7484		1.392	1.495	1.46
0.20	0.6312	0.878		1.799	1.83	1.841
0.21	0.754	1.024		2.276	2.22	2.3
0.22	0.9088	1.181		2.853	2.66	2.819
0.23	1.097	1.358		3.559	3.148	3.422
0.24	1.325	1.538		4.43	3.704	4.136
0.25	1.61	1.732		5.481	4.327	4.944
0.26	1.926	1.945		6.762	5.036	5.844
0.27	2.292	2.178		8.304	5.804	6.861
0.28	2.731	2.426			6.62	7.975
0.29	3.246	2.689			7.536	9.188
0.30	3.838	2.973			8.556	
0.31	4.462	3.301			9.683	
0.32	5.219	3.644				
0.33	5.975	4.029				
0.34	6.898	4.422				
0.35	7.854	4.838				
0.36	8.979	5.283				
0.37		5.784				
0.38		6.305				
0.39		6.872				
0.40		7.49				
0.41		8.136				
0.42		8.812				
0.43		9.559				
0.44						
0.45						
0.46						
0.47						
0.48						
0.49						
0.50						
0.51						
0.52						
0.53						
0.54						
0.55						
0.56						
0.57						
0.58						
0.59						
0.60						
0.61						
0.62						
0.63						
0.64						
0.65						
0.66						
0.67						
0.68						
0.69						
0.70						
0.71						
0.72						
0.73						
0.74						
0.75						
0.76						
0.77						
0.78						
0.79						
0.80						
0.81						
0.82						
0.83						
0.84						
0.85						
0.86						
0.87						
0.88						
0.89						
0.90						
0.91						
0.92						
0.93						
0.94						
0.95						
0.96						
0.97						
0.98						
0.99						
1.00						
