fpepq	DALI_sf	TMalign_sf	blastp_sf	foldseek_sf	reseek-fast_sf	reseek-sensitive_sf
0.01						
0.02						
0.03	0.01204					
0.04	0.02203					
0.05	0.0355					
0.06	0.05539	0.01552		0.01222		
0.07	0.08545	0.02319		0.02364		
0.08	0.1174	0.03282	0.0223	0.0396		
0.09	0.154	0.04888	0.09669	0.06012		
0.10	0.2003	0.0644	0.3877	0.0859	0.01035	0.01044
0.11	0.2548	0.08724	1.301	0.1161	0.0173	0.01695
0.12	0.3223	0.112	7.695	0.1513	0.0256	0.0248
0.13	0.4182	0.137		0.194	0.0372	0.03604
0.14	0.5333	0.1712		0.2422	0.05156	0.04897
0.15	0.6542	0.2134		0.297	0.0669	0.06485
0.16	0.7919	0.2597		0.3652	0.08679	0.08402
0.17	0.9541	0.3126		0.4344	0.1153	0.1116
0.18	1.125	0.372		0.5151	0.1499	0.145
0.19	1.326	0.4448		0.609	0.1933	0.1852
0.20	1.547	0.5289		0.7093	0.2434	0.2393
0.21	1.787	0.6326		0.8232	0.3069	0.2982
0.22	2.042	0.742		0.9462	0.3859	0.3749
0.23	2.318	0.8827		1.08	0.4847	0.466
0.24	2.615	1.047		1.238	0.603	0.5775
0.25	2.925	1.232		1.418	0.75	0.7101
0.26	3.221	1.452		1.617	0.9227	0.869
0.27	3.534	1.693		1.83	1.135	1.058
0.28	3.862	1.95		2.074	1.377	1.279
0.29	4.191	2.231		2.356	1.649	1.542
0.30	4.529	2.575		2.678	1.978	1.842
0.31	4.852	2.943		3.036	2.362	2.147
0.32	5.194	3.385		3.432	2.815	2.528
0.33	5.523	3.844		3.882	3.318	2.958
0.34	5.874	4.372		4.379	3.908	3.447
0.35	6.214	4.921		4.933	4.622	4.018
0.36	6.592	5.561		5.557	5.484	4.652
0.37	6.936	6.201		6.243	6.511	5.358
0.38	7.323	6.898		7.028	7.747	6.149
0.39	7.744	7.629		7.901	9.302	7.053
0.40	8.169	8.415		8.85		8.129
0.41	8.637	9.269		9.981		9.368
0.42	9.083					
0.43	9.616					
0.44						
0.45						
0.46						
0.47						
0.48						
0.49						
0.50						
0.51						
0.52						
0.53						
0.54						
0.55						
0.56						
0.57						
0.58						
0.59						
0.60						
0.61						
0.62						
0.63						
0.64						
0.65						
0.66						
0.67						
0.68						
0.69						
0.70						
0.71						
0.72						
0.73						
0.74						
0.75						
0.76						
0.77						
0.78						
0.79						
0.80						
0.81						
0.82						
0.83						
0.84						
0.85						
0.86						
0.87						
0.88						
0.89						
0.90						
0.91						
0.92						
0.93						
0.94						
0.95						
0.96						
0.97						
0.98						
0.99						
1.00						
